NAME,RACE,AGE,SEX,CRIME,METHOD,DAY,MONTH,YEAR,STATE
(WILLIAMSON),Black,,,unknown,Hanging,22,1,1734,NC
(WILLIAMSON),Black,,,unknown,Hanging,22,1,1734,NC
(WILLIAMSON),Black,,,Unspecified Felony ,Hanging,11,12,1770,NC
(WILLIAMSON),Black,,,Unspecified Felony ,Hanging,11,12,1770,NC
(WILLIAMSON),Black,,M,Slave Revolt,Hanging,,12,1742,SC
(WILSON),Black,,,unknown,Hanging,,,1783,VA
(WINTHROW),Black,,,Unspecified Felony ,Hanging,,10,1861,WV
(WORLEY),Black,,M,unknown,Hanging,10,11,1784,NC
A-E-CHA-GA,Native Amer.,,M,Murder,Hanging,26,12,1862,MN
AARAN,Native Amer.,,M,Conspiracy to Murder,Shot,11,4,1778,CA
AARON,Black,,M,Murder,Hanging,10,7,1857,GA
AARON (ARMISTEAD),Black,,M,Housebreaking - Burglary ,Hanging,,,1765,VA
AARON (DAILEY),Black,,M,Horse Stealing,Hanging,5,4,1799,WV
AARON (DAVENPORT),Black,35,M,unknown,Hanging,21,5,1858,NC
AARON (JOPLING),Black,,M,Murder,Hanging,10,1,1802,VA
ABBANDANDO FRANK,White,32,M,Conspiracy to Murder,Electrocution,19,2,1942,NY
ABBOTT BURTON,White,29,M,Rape - Murder,Gas,15,3,1957,CA
ABBOTT JOSEPH,White,20,M,Murder,Hanging,6,1,1882,NY
ABBOTT ROSS,White,24,M,Murder,Hanging,1,8,1947,MD
ABBY WARREN,White,59,M,Murder,Electrocution,29,8,1941,OK
ABDELL J. CLIFTON,White,42,M,Murder,Electrocution,5,1,1940,VA
ABE (HOBBS),Black,,M,Murder,Hanging,,11,1857,LA
ABE (NEWBY),Black,,M,Murder,Hanging,24,6,1853,MO
ABEL (DAUGHTRY),Black,,M,Murder,Hanging,15,8,1821,VA
ABEL (OLIVER),Black,,M,Murder,Hanging,,,1762,VA
ABEL (ZIMMERMAN),Black,,M,unknown,Hanging,2,2,1843,AL
ABEL WILLIAM,White,39,M,Murder,Hanging,3,12,1914,PA
ABEYTA RODERICK,Hispanic,44,M,Robbery - Murder,Injection,5,10,1998,NV
ABIGAIL (VANINBURGH),White,,F,Slave Revolt,Hanging,,,1712,NY
ABLES JOHN,White,,M,Murder,Hanging,15,2,1878,MO
ABLES WILL,Black,,M,Rape,Hanging,30,6,1899,GA
ABNER (FLUIT),Black,,M,Robbery,Hanging,7,8,1826,SC
ABNEY GEORGE,Black,38,M,Murder,Electrocution,6,9,1940,SC
ABRAHAM,Black,,M,Horse Stealing,Hanging,,,1772,VA
ABRAHAM (BARND),Black,,M,Attempted Murder,Hanging,4,1,1791,VA
ABRAHAM (FARMER),Black,,M,Housebreaking - Burglary ,Hanging,19,6,1790,VA
ABRAHAM (FITZHUGH),Black,,M,Slave Revolt,Hanging,15,2,1805,VA
ABRAHAM (GIBBONS),Black,,M,Poisoning,Hanging,14,1,1761,SC
ABRAHAM (HAMPTON),Black,,M,Poisoning,Hanging,5,6,1802,VA
ABRAHAM (MEEK),Black,,M,unknown,Hanging,24,11,1837,AL
ABRAHAM (MEERS),Black,,M,Housebreaking - Burglary ,Hanging,20,9,1773,VA
ABRAHAM (PATTERSON),Black,,M,Murder,Hanging,,,1800,VA
ABRAM   (SMITH),Black,,M,Slave Revolt,Hanging,15,5,1802,VA
ABRAM (BUTTLER),Black,,M,Robbery,Hanging,20,11,1736,SC
ABRAM (CROWDAS),Black,,M,Murder,Hanging,7,4,1820,VA
ABRAM (EDWARD),Black,,M,Murder,Hanging,17,12,1803,WV
ABRAM (GRIFFIN),Black,,M,Murder,Hanging,13,3,1812,VA
ABRAM (LONG),Black,,M,unknown,Hanging,8,2,1843,AL
ABRAM (MECHLEN),Black,,M,Murder,Hanging,12,3,1798,VA
ABREU ANSELMO,White,41,M,Murder,Electrocution,4,1,1940,NY
ABRIEL PETER,White,,M,Robbery - Murder,Hanging,13,5,1871,LA
ABSALOM,Black,,M,Murder,Hanging,24,4,1829,NC
ABSALOM (HILLARD),Black,,M,Slave Revolt,Hanging,15,5,1802,VA
ABSHIER GEORGE,White,,M,Robbery - Murder,Hanging,18,7,1930,CO
ACHEY JOHN,White,,M,Murder,Hanging,29,1,1879,IN
ACHIL,Native Amer.,,M,Conspiracy to Murder,Shot,11,4,1778,CA
ACHILLES T,Black,,M,Robbery - Murder,Hanging,6,1,1882,LA
ACKER GEORGE,White,34,M,Robbery - Murder,Hanging,29,3,1860,NJ
ACKERMAN BARNEY,White,19,M,Murder,Hanging,29,4,1853,CA
ACKLES DAVID,Black,,M,Murder,Hanging,17,7,1885,AR
ACREE PERRY,White,43,M,Robbery - Murder,Electrocution,22,11,1943,FL
ADAIR FRED JR,White,27,M,Rape,Electrocution,5,9,1951,TX
ADAM (BOYER),Black,,M,Murder,Hanging,26,8,1829,VA
ADAM (BULLARD),Black,,M,unknown,Hanging,,7,1854,AL
ADAM (JONES),Black,,M,Murder,Hanging,13,7,1860,AL
ADAM (ROBERTSON),Black,,M,Slave Revolt,Hanging,26,7,1822,SC
ADAM (SMITH),Black,,M,Attempted Murder,Hanging,7,7,1854,AL
ADAM (YATES),Black,,M,Slave Revolt,Hanging,26,7,1822,SC
